player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,now_cost,selected_by_percent
444,695892,Bidemi,Amole,Amole,,21,2352,BP,BP,3,MID,a,,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,0.0
445,536488,Theo,Sander,Sander,,5,375,IF Elfsborg,IFE,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0
446,445893,Marius,Lode,Lode,,6,1959,BK Häcken,BKH,2,DEF,u,Har lämnat klubben.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0
447,624082,Madiou,Keïta,Keïta,,29,6211,Västerås SK,VSK,2,DEF,a,,187,0,0,3,0,0,0,0,0,0,0,0,3,0,0,35,21,45,0.2
448,612742,Mohamed,Derbali,Derbali,Mohamed Derbali,21,2352,BP,BP,3,MID,a,,121,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,4,45,0.0
449,466321,Alexander,Jensen,Jensen,,5,375,IF Elfsborg,IFE,2,DEF,a,,129,0,0,0,4,0,0,0,0,0,0,0,0,0,2,15,2,60,0.0
450,742914,Fabian,Björklund,Björklund,,10,2594,Kalmar FF,KFF,2,DEF,a,,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,3,45,0.0
451,570529,Alexander,Almqvist,Almqvist,,10,2594,Kalmar FF,KFF,2,DEF,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0.0
452,661268,Issaka,Seidu,Seidu,,4,244,IFK Göteborg,GBG,2,DEF,a,,65,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,55,0.0
453,533454,Adam,Vikman,Wikman,,3,3056,IK Sirius,IKS,3,MID,a,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0.0
454,469124,Ali,Youssef,Youssef,,14,2360,Mjällby AIF,MAIF,4,FWD,a,,62,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,8,64,0.0
455,509203,Martin,Agnarsson,Agnarsson,,14,2360,Mjällby AIF,MAIF,2,DEF,a,,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,60,0.0
456,570286,Robin,Dzabic,Dzabic,,16,2961,Degerfors IF,DEG,3,MID,a,,151,0,0,0,2,0,0,0,1,0,0,1,0,0,3,15,4,55,0.0
457,717233,Oliver,Månsson,Månsson,,4,244,IFK Göteborg,GBG,3,MID,a,,63,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,45,0.0
458,179618,Hervé,Matthys,Matthys,,12,195,AIK,AIK,2,DEF,a,,108,0,0,1,0,0,0,0,1,0,0,0,1,0,0,14,7,55,1.4
459,106325,Hjörtur,Hermannsson,Hermannsson,,4,244,IFK Göteborg,GBG,2,DEF,a,,53,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,50,0.1
460,114226,Sam,Larsson,Larsson,,4,244,IFK Göteborg,GBG,4,FWD,a,,94,1,0,0,3,0,0,0,0,0,0,0,0,0,2,4,8,85,0.9
461,667169,Nikolai,Skuseth,Skuseth,,16,2961,Degerfors IF,DEG,2,DEF,a,,180,0,0,0,5,0,0,0,0,0,0,0,2,0,0,24,4,45,0.0
